"Horodateur","Quel est votre sexe ou genre actuel ? ( cochez toutes les réponses applicables)","Quel est votre âge ? ","Quel est votre niveau de diplôme ?","Avez-vous été directement confronté à l'épidémie de Covid (vous ou bien une personne de votre foyer infectée, précisez) ?","Si oui, à quel degré de gravité ? (Symptômes graves, hospitalisation...)","Est-ce qu’il a été difficile pour vous de vous adapter aux conditions imposées par le gouvernement (confinement, couvre-feu, télétravail, etc) ?","Vous sentez-vous différent depuis les mesures imposées par le gouvernement en rapport à l'épidémie (confinement, couvre feu) ?","Si oui, quels sont les symptômes que vous observez ?","Dans quelle mesure votre vie a-t-elle été affectée par les contraintes engendrées par l'épidémie ?","Comment évaluez-vous la gestion de cette épidémie par le gouvernement ? ","Les contraintes imposées par l'état d'urgence sanitaire vous semblent-elles ?","Les contraintes imposées par l'état d'urgence sanitaire vous semblent-elles ? ","Les contraintes imposées par l'état d'urgence sanitaire vous semblent-elles ?","Avez vous le sentiment d’avoir bien été informé par les médias ?","Quel degré de gravité donneriez-vous à l'épidémie de Covid en France ? ","Dans combien de temps pensez-vous que l'épidémie sera derrière nous ? ","Porter le masque en présence d'autres personnes même à l'intérieur ","Porter le masque dans la rue et les lieux publics","Se laver les mains en rentrant chez soi","Se tenir au moins à 1 mètre des autres personnes","Se faire tester au moindre symptôme","Eviter les foules et autres rassemblements","Rester chez soi le plus souvent possible","Utiliser toutes les ressources du télétravail","Utiliser une solution hydroalcoolique en allant au supermarché","Saluer sans serrer la main et arrêter les embrassades","Allez-vous vous faire vacciner dès que ce sera possible ?  ","Conseillez-vous à vos proches, surtout les plus âgés, de se faire vacciner ? ","Est-ce qu'il vous semble important que les célébrités et/ou les personnalités politiques puissent se faire vacciner publiquement?","Est-ce que le fait que vos proches soient vaccinés vous inciterait à vous faire vacciner vous aussi ?","Pensez-vous être correctement informé.e des vaccins et des qualités/défauts des vaccins qui vous sont proposés ?","Comment évaluez-vous les risques d'effets secondaires graves des vaccins ?","Êtes-vous favorable à ce que les personnes qui se font vacciner puissent choisir le type de vaccin (Pfizer, Astra Zeneca, Sputnik V,...) ?","Comprenez-vous le caractère facultatif du vaccin en France ?","Êtes-vous favorable à un ""Passeport Santé"", qui permet aux personnes vaccinées d'accéder aux salles de sports, cinémas et autres salles de spectacle ?"," [Hommes politiques]"," [ Grands Laboratoires Pharmaceutiques]"," [La famille]"," [Les amis]"," [Le voisinage ]"," [Médecine généraliste]"," [La justice]"," [L'administration]"," [L'hôpital public]"," [La police]"," [L'enseignement]"," [Pharmacies]"," [Les grands médias]"," [Les réseaux sociaux]"," [Les distributeurs]"," [La science]"," [Les commerçants]"
"2021/03/16 10:03:55 AM UTC+2","Femme","40-55 ans","DEUG, BTS, DUT, DEUST","Non","","0","Non","","0","10","10","10","10","10","10","9 mois (Décembre 2021)","Systématiquement","Systématiquement","Systématiquement","Souvent","Jamais","Systématiquement","Souvent","Jamais","Systématiquement","Systématiquement","10","10","Oui","Oui","Oui","3","Non","Non","10","Confiance modérée","Confiance modérée","Confiance absolue","Confiance absolue","Confiance modérée","Confiance absolue","Confiance modérée","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Confiance absolue","Confiance absolue"
"2021/03/16 10:04:23 AM UTC+2","Homme","56- 65 ans","Master 2","non","","7","Oui","Anxiété;Stress","8","7","6","7","9","3","8","9 mois (Décembre 2021)","Ça dépend des situations","Systématiquement","Systématiquement","Systématiquement","Souvent","Souvent","Souvent","Ça dépend des situations","Systématiquement","Systématiquement","10","10","Non","Non","Oui","3","Non","Oui","3","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Aucune confiance","Faible confiance","Confiance absolue","Aucune confiance"
"2021/03/16 10:10:23 AM UTC+2","Femme","30-39 ans","Licence, Licence professionnelle","Non","","3","Non","","1","1","0","1","4","1","3","3 mois (Juin 2021)","Jamais","Jamais","Rarement","Rarement","Rarement","Rarement","Rarement","Rarement","Rarement","Rarement","0","1","Non","Non","Non","1","Non","Non","1","Aucune confiance","Aucune confiance","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Faible confiance","Confiance modérée","Confiance modérée","Aucune confiance","Faible confiance","Aucune confiance","Faible confiance","Faible confiance"
"2021/03/16 10:20:59 AM UTC+2","Femme","40-55 ans","Master 2","non","","4","Oui","Anxiété;Déprime/baisse de morale","6","5","5","3","9","3","8","1 an (Pas avant 2022)","Souvent","Systématiquement","Systématiquement","Systématiquement","Jamais","Systématiquement","Souvent","Souvent","Systématiquement","Systématiquement","7","10","Oui","Oui","Non","5","Oui","Oui","5","Faible confiance","Aucune confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Aucune confiance"
"2021/03/16 10:56:23 AM UTC+2","Femme","56- 65 ans","Master 2","non","","1","Oui","plus de sérénité","1","4","8","2","8","7","6","1 an (Pas avant 2022)","Souvent","Souvent","Systématiquement","Souvent","Ça dépend des situations","Souvent","Souvent","Souvent","Systématiquement","Souvent","10","10","Oui","Non","Non","7","Oui","Oui","2","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance absolue","Confiance modérée","Faible confiance","Confiance absolue","Faible confiance","Confiance modérée","Confiance absolue","Aucune confiance","Faible confiance","Faible confiance","Confiance modérée","Faible confiance"
"2021/03/16 11:03:16 AM UTC+2","Femme","30-39 ans","Master 2","non","","2","Non","","3","8","8","7","10","0","10","1 an (Pas avant 2022)","Ça dépend des situations","Systématiquement","Systématiquement","Souvent","Souvent","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","10","10","Oui","Non","Oui","2","Oui","Oui","7","Confiance modérée","Confiance modérée","Confiance absolue","Faible confiance","Faible confiance","Confiance absolue","Confiance modérée","Confiance modérée","Confiance absolue","Faible confiance","Confiance absolue","Confiance modérée","Faible confiance","Aucune confiance","Faible confiance","Confiance absolue","Faible confiance"
"2021/03/16 11:06:49 AM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Non","","7","Oui","Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","8","2","3","2","6","3","5","1 an (Pas avant 2022)","Ça dépend des situations","Systématiquement","Systématiquement","Souvent","Ça dépend des situations","Souvent","Systématiquement","Rarement","Souvent","Souvent","1","0","Non","Non","Non","8","Oui","Non","7","Aucune confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance"
"2021/03/16 11:13:07 AM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Non","","7","Oui","Anxiété;Déprime/baisse de morale","9","4","4","4","8","5","7","1 an (Pas avant 2022)","Rarement","Systématiquement","Systématiquement","Systématiquement","Jamais","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","3","4","Non","Oui","Non","9","Oui","Oui","7","Aucune confiance","Faible confiance","Confiance absolue","Confiance modérée","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance","Confiance modérée","Confiance modérée","Aucune confiance","Faible confiance","Faible confiance","Confiance absolue","Faible confiance"
"2021/03/16 11:13:25 AM UTC+2","Femme","20-29 ans","Baccalauréat","Personne de ma famille infectée ","5","3","Oui","Stress;Décrochage scolaire;Baisse de productivité","8","2","9","9","9","2","9","1 an (Pas avant 2022)","Systématiquement","Systématiquement","Souvent","Souvent","Rarement","Souvent","Souvent","Souvent","Souvent","Rarement","2","8","Non","Non","Non","7","Oui","Oui","8","Aucune confiance","Confiance modérée","Confiance absolue","Confiance modérée","Faible confiance","Confiance modérée","Aucune confiance","Aucune confiance","Confiance absolue","Faible confiance","Faible confiance","Confiance modérée","Aucune confiance","Aucune confiance","Aucune confiance","Confiance absolue","Faible confiance"
"2021/03/16 11:21:46 AM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Non","","0","Oui","Anxiété;Stress;Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité;Manque de sommeil","6","1","6","1","10","3","8","2 ans (Pas avant 2023)","Ça dépend des situations","Systématiquement","Systématiquement","Systématiquement","Ça dépend des situations","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","0","1","Oui","Non","Non","10","Oui","Oui","0","Aucune confiance","Confiance modérée","Confiance absolue","Confiance modérée","Faible confiance","Confiance absolue","Aucune confiance","Faible confiance","Confiance modérée","Aucune confiance","Confiance modérée","Confiance absolue","Confiance modérée","Confiance modérée","Aucune confiance","Faible confiance","Faible confiance"
"2021/03/16 11:29:15 AM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Non","","10","Oui","Anxiété;Stress;Déprime/baisse de morale;Baisse de productivité","10","0","0","0","0","10","0","Elle va menacer pendant longtemps","Rarement","Rarement","Systématiquement","Rarement","Rarement","Rarement","Rarement","Souvent","Rarement","Rarement","0","0","Non","Non","Oui","10","Oui","Oui","0","Aucune confiance","Aucune confiance","Confiance absolue","Confiance modérée","Faible confiance","Confiance modérée","Aucune confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Confiance modérée","Aucune confiance","Aucune confiance","Aucune confiance","Confiance modérée","Confiance modérée"
"2021/03/16 11:30:08 AM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Non","","10","Oui","Anxiété;Stress;Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","9","0","2","0","5","3","5","1 an (Pas avant 2022)","Systématiquement","Ça dépend des situations","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","0","0","Oui","Oui","Non","8","Non","Oui","0","Aucune confiance","Aucune confiance","Confiance absolue","Aucune confiance","Aucune confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Faible confiance","Confiance modérée","Faible confiance"
"2021/03/16 11:33:33 AM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Non","","10","Oui","Anxiété;Stress;Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","10","0","0","0","0","0","10","Elle va menacer pendant longtemps","Souvent","Souvent","Systématiquement","Rarement","Jamais","Souvent","Souvent","Systématiquement","Systématiquement","Systématiquement","6","10","Non","Oui","Non","2","Oui","Non","0","Aucune confiance","Aucune confiance","Confiance absolue","Confiance absolue","Faible confiance","Confiance absolue","Aucune confiance","Aucune confiance","Confiance modérée","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Confiance modérée","Aucune confiance","Faible confiance","Faible confiance"
"2021/03/16 11:35:52 AM UTC+2","Homme","20-29 ans","Licence, Licence professionnelle","Oui, une amie a été infectée et est décédée. ","5","1","Non","","5","3","10","5","9","9","8","Elle va menacer pendant longtemps","Ça dépend des situations","Systématiquement","Souvent","Souvent","Jamais","Souvent","Systématiquement","Systématiquement","Rarement","Systématiquement","9","10","Oui","Oui","Non","3","Oui","Non","9","Confiance modérée","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Confiance modérée","Aucune confiance","Confiance absolue","Confiance absolue","Confiance modérée"
"2021/03/16 11:46:34 AM UTC+2","Femme","30-39 ans","Master 2","Oui ( plusieurs personnes de mon famille ont été malade) ","4","10","Oui","Déprime/baisse de morale;Baisse de productivité","9","0","1","0","0","0","4","Elle va menacer pendant longtemps","Rarement","Jamais","Systématiquement","Souvent","Jamais","Souvent","Souvent","Souvent","Rarement","Ça dépend des situations","0","0","Non","Non","Non","10","Oui","Non","0","Aucune confiance","Aucune confiance","Confiance absolue","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Faible confiance","Faible confiance","Confiance modérée","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance","Faible confiance","Aucune confiance"
"2021/03/16 11:49:50 AM UTC+2","Homme","20-29 ans","Baccalauréat","J'ai attrapé le covid vers juillet 2020","1","8","Oui","Stress;Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","6","3","3","9","7","8","6","1 an (Pas avant 2022)","Ça dépend des situations","Systématiquement","Systématiquement","Souvent","Jamais","Souvent","Souvent","Systématiquement","Systématiquement","Systématiquement","0","0","Oui","Non","Oui","7","Oui","Oui","1","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance"
"2021/03/16 11:53:02 AM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Non","","6","Oui","Anxiété;Stress;Déprime/baisse de morale","4","4","4","5","4","8","5","6 mois (Septembre 2021)","Rarement","Systématiquement","Systématiquement","Souvent","Jamais","Systématiquement","Souvent","Systématiquement","Systématiquement","Systématiquement","3","6","Oui","Oui","Non","9","Oui","Oui","3","Faible confiance","Confiance absolue","Confiance absolue","Confiance absolue","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Confiance absolue","Faible confiance"
"2021/03/16 11:56:26 AM UTC+2","Femme","20-29 ans","Baccalauréat","Non","","8","Oui","Anxiété;Stress;Déprime/baisse de morale;Baisse de productivité","8","7","3","6","10","4","8","1 an (Pas avant 2022)","Ça dépend des situations","Systématiquement","Systématiquement","Systématiquement","Ça dépend des situations","Souvent","Souvent","Systématiquement","Systématiquement","Ça dépend des situations","8","9","Non","Oui","","5","Oui","Oui","7","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Confiance absolue","Faible confiance"
"2021/03/16 11:59:41 AM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Non","","7","Oui","Anxiété;Déprime/baisse de morale","9","4","4","4","8","5","7","1 an (Pas avant 2022)","Rarement","Systématiquement","Systématiquement","Systématiquement","Jamais","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","3","4","Non","Oui","Non","9","Oui","Oui","7","Aucune confiance","Faible confiance","Confiance absolue","Confiance modérée","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance","Confiance modérée","Confiance modérée","Aucune confiance","Faible confiance","Faible confiance","Confiance absolue","Faible confiance"
"2021/03/16 12:00:14 PM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Oui","2","9","Oui","Anxiété;Stress;Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","8","4","3","4","6","4","7","Elle va menacer pendant longtemps","Ça dépend des situations","Systématiquement","Souvent","Souvent","Souvent","Souvent","Systématiquement","Souvent","Souvent","Rarement","6","9","Non","Oui","Non","8","Oui","Oui","0","Faible confiance","Faible confiance","Confiance absolue","Confiance absolue","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Aucune confiance","Aucune confiance","Faible confiance","Confiance modérée","Faible confiance"
"2021/03/16 12:03:18 PM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Oui","2","8","Oui","Irrité, tendue ","5","6","3","6","8","5","7","6 mois (Septembre 2021)","Rarement","Systématiquement","Souvent","Souvent","Systématiquement","Souvent","Souvent","Souvent","Systématiquement","Systématiquement","6","9","Non","Oui","Non","5","Oui","Non","3","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Confiance modérée","Faible confiance"
"2021/03/16 12:05:46 PM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Non","","7","Oui","Déprime/baisse de morale","8","8","3","7","5","8","5","1 an (Pas avant 2022)","Ça dépend des situations","Systématiquement","Systématiquement","Rarement","Jamais","Ça dépend des situations","Souvent","Systématiquement","Systématiquement","Ça dépend des situations","10","10","Oui","Oui","Non","1","Oui","Non","10","Aucune confiance","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance","Confiance modérée","Confiance absolue","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance"
"2021/03/16 12:15:41 PM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Non","","7","Oui","Anxiété;Stress;Déprime/baisse de morale","8","6","4","9","10","4","7","2 ans (Pas avant 2023)","Souvent","Systématiquement","Systématiquement","Systématiquement","Jamais","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","10","10","Oui","Oui","Non","1","Oui","Oui","3","Confiance modérée","Confiance modérée","Confiance absolue","Confiance absolue","Confiance modérée","Confiance absolue","Confiance modérée","Confiance modérée","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Faible confiance","Faible confiance","Faible confiance","Confiance absolue","Confiance modérée"
"2021/03/16 12:30:06 PM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","non","","10","Oui","Anxiété;Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","10","0","1","0","3","0","8","1 an (Pas avant 2022)","Souvent","Rarement","Systématiquement","Souvent","Souvent","Systématiquement","Souvent","Souvent","Systématiquement","Souvent","10","10","Oui","Non","Non","5","Oui","Oui","0","Aucune confiance","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Aucune confiance","Aucune confiance","Faible confiance","Confiance modérée","Faible confiance","Confiance absolue","Confiance absolue","Aucune confiance","Confiance modérée","Aucune confiance","Confiance absolue","Confiance modérée"
"2021/03/16 12:37:17 PM UTC+2","Je ne souhaite pas répondre","20-29 ans","Licence, Licence professionnelle","Oui","1","10","Oui","Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","10","0","0","0","0","0","1","6 mois (Septembre 2021)","Rarement","Rarement","Systématiquement","Rarement","Rarement","Jamais","Rarement","Systématiquement","Souvent","Systématiquement","0","0","Oui","Non","Non","10","Oui","Oui","0","Aucune confiance","Aucune confiance","Confiance absolue","Confiance modérée","Aucune confiance","Aucune confiance","Faible confiance","Faible confiance","Confiance absolue","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Confiance modérée","Aucune confiance","Confiance absolue","Faible confiance"
"2021/03/16 12:57:23 PM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Oui","2","9","Oui","Anxiété;Stress;Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","8","4","3","4","6","4","7","Elle va menacer pendant longtemps","Ça dépend des situations","Systématiquement","Souvent","Souvent","Souvent","Souvent","Systématiquement","Souvent","Souvent","Rarement","6","9","Non","Oui","Non","8","Oui","Oui","0","Faible confiance","Faible confiance","Confiance absolue","Confiance absolue","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Aucune confiance","Aucune confiance","Faible confiance","Confiance modérée","Faible confiance"
"2021/03/16 1:32:49 PM UTC+2","Femme","20-29 ans","Maîtrise, Master 1","Non ","","10","Oui","Anxiété;Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","9","5","3","5","6","4","8","2 ans (Pas avant 2023)","Rarement","Systématiquement","Systématiquement","Systématiquement","Ça dépend des situations","Jamais","Jamais","Systématiquement","Souvent","Systématiquement","0","0","Non","Non","Non","10","Oui","Oui","10","Aucune confiance","Aucune confiance","Confiance absolue","Confiance absolue","Faible confiance","Confiance modérée","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Confiance modérée","Aucune confiance","Confiance modérée","Aucune confiance","Confiance modérée","Faible confiance"
"2021/03/16 1:48:06 PM UTC+2","Femme","30-39 ans","DEUG, BTS, DUT, DEUST","Non","","8","Oui","Anxiété;Stress;Déprime/baisse de morale;Baisse de productivité","8","0","3","2","2","3","7","1 an (Pas avant 2022)","Ça dépend des situations","Systématiquement","Systématiquement","Ça dépend des situations","Rarement","Souvent","Souvent","Souvent","Systématiquement","Systématiquement","0","0","Oui","Non","Non","10","Oui","Oui","0","Aucune confiance","Aucune confiance","Confiance absolue","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Faible confiance","Faible confiance"
"2021/03/16 2:00:56 PM UTC+2","Je ne souhaite pas répondre","20-29 ans","Licence, Licence professionnelle","Oui mais en se soignant naturellement et avec patience on a gueris ","3","9","Oui","Décrochage scolaire;Baisse de productivité","7","0","3","3","2","0","3","1 an (Pas avant 2022)","Jamais","Souvent","Systématiquement","Rarement","Jamais","Rarement","Rarement","Ça dépend des situations","Rarement","Rarement","1","1","Non","Non","Non","9","Oui","Non","0","Aucune confiance","Aucune confiance","Confiance absolue","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Faible confiance","Aucune confiance","Faible confiance","Faible confiance","Aucune confiance","Confiance modérée"
"2021/03/16 2:06:41 PM UTC+2","Femme","20-29 ans","Master 2","0","","2","Oui","Déprime/baisse de morale;Baisse de productivité","9","2","2","1","2","5","7","1 an (Pas avant 2022)","Ça dépend des situations","Systématiquement","Systématiquement","Systématiquement","Rarement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","2","2","Non","Non","Non","5","Oui","Oui","0","Aucune confiance","Faible confiance","Confiance absolue","Confiance absolue","Confiance modérée","Confiance absolue","Faible confiance","Aucune confiance","Confiance absolue","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Confiance absolue","Confiance modérée"
"2021/03/16 2:42:48 PM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Non","","6","Oui","Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","8","4","5","4","8","5","4","Elle va menacer pendant longtemps","Ça dépend des situations","Systématiquement","Souvent","Souvent","Rarement","Ça dépend des situations","Souvent","Souvent","Souvent","Ça dépend des situations","1","5","Oui","Oui","Non","7","Oui","Oui","1","Confiance modérée","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Confiance absolue","Faible confiance","Faible confiance","Confiance absolue","Faible confiance","Faible confiance","Faible confiance","Confiance absolue","Faible confiance"
"2021/03/16 2:43:00 PM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Non","","6","Oui","Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","8","4","5","4","8","5","4","Elle va menacer pendant longtemps","Ça dépend des situations","Systématiquement","Souvent","Souvent","Rarement","Ça dépend des situations","Souvent","Souvent","Souvent","Ça dépend des situations","1","5","Oui","Oui","Non","7","Oui","Oui","1","Confiance modérée","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Confiance absolue","Faible confiance","Faible confiance","Confiance absolue","Faible confiance","Faible confiance","Faible confiance","Confiance absolue","Faible confiance"
"2021/03/16 5:41:20 PM UTC+2","Homme","30-39 ans","Master 2","non","","6","Oui","Déprime/baisse de morale;Baisse de productivité","7","1","2","2","5","2","6","6 mois (Septembre 2021)","Systématiquement","Souvent","Systématiquement","Souvent","Ça dépend des situations","Souvent","Ça dépend des situations","Systématiquement","Souvent","Systématiquement","6","7","Non","Non","Non","7","Oui","Oui","0","Aucune confiance","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Confiance modérée","Faible confiance"
"2021/03/16 5:41:49 PM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Non","","5","Oui","Anxiété;Déprime/baisse de morale;Baisse de productivité","5","3","3","3","4","7","10","2 ans (Pas avant 2023)","Systématiquement","Systématiquement","Systématiquement","Ça dépend des situations","Rarement","Ça dépend des situations","Systématiquement","Systématiquement","Souvent","Systématiquement","0","0","Non","Non","Non","10","Oui","Oui","0","Aucune confiance","Confiance modérée","Confiance absolue","Confiance absolue","Faible confiance","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Aucune confiance","Confiance absolue","Confiance absolue","Aucune confiance","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée"
"2021/03/16 7:51:16 PM UTC+2","Femme","20-29 ans","Master 2","oui, famille et amis. de nombreux décès... ","5","6","Oui","Anxiété;Stress;Déprime/baisse de morale;Baisse de productivité","8","5","7","6","5","4","8","1 an (Pas avant 2022)","Souvent","Systématiquement","Systématiquement","Souvent","Rarement","Souvent","Souvent","Souvent","Systématiquement","Souvent","3","7","Non","Non","Non","5","Oui","Oui","1","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Confiance modérée","Faible confiance"
"2021/03/16 8:12:55 PM UTC+2","Homme","40-55 ans","Licence, Licence professionnelle","Oui l’année dernière ","2","9","Oui","Stress","9","9","7","9","10","9","9","1 an (Pas avant 2022)","Systématiquement","Systématiquement","Souvent","Souvent","Systématiquement","Souvent","Rarement","Rarement","Systématiquement","Systématiquement","10","10","Oui","Oui","Non","2","Oui","Oui","10","Confiance absolue","Confiance absolue","Confiance absolue","Confiance modérée","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance absolue"
"2021/03/16 8:47:39 PM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Non","","10","Oui","Anxiété;Stress;Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","9","0","2","0","5","3","5","1 an (Pas avant 2022)","Systématiquement","Ça dépend des situations","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Systématiquement","0","0","Oui","Oui","Non","8","Non","Oui","0","Aucune confiance","Aucune confiance","Confiance absolue","Aucune confiance","Aucune confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Faible confiance","Confiance modérée","Faible confiance"
"2021/03/16 8:47:49 PM UTC+2","Homme","20-29 ans","Master 2","Oui, j'ai été infecté ","1","0","Oui","Perte de lien social","2","8","10","9","10","9","10","1 an (Pas avant 2022)","Souvent","Systématiquement","Systématiquement","Souvent","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Souvent","Systématiquement","10","10","Non","Oui","Non","5","Oui","Oui","8","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Aucune confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance absolue","Confiance modérée","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Confiance modérée","Faible confiance"
